playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480950,2023,Ilya Lyubushkin,TOR,D,other,74,2881.0,56.0,5.08,0.37,0.45,0.28,0.51,0.31,0.48,179.0,1.38,0.24,0.11,0.32,0.07,0.87,0.39,0.23,0.24,0.23,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.03,0.0,0.21,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.03,0.46,0.21,0.06,0.06,0.06,56.0,5.0,20.0,8.0,23.0,4.0,17.0,12.0,23.0,0.0,0.0,7697.0,0.0,2.0,1.0,10.0,22.73,6.02,5.5,6.02,5.5,21.0,10.0,6.0,37.0,5.0,3.0,1.0,19.0,2.0,10.0,0.77,0.17,5.08,1.0,0.0,4.0,37.0,31.0,31.0,0.38,1.14,1.14,5.26,5.26,4.79,52.18,10.07,7.26,10.07,7.26,46.0,22.0,28.0,96.0,8.0,9.0,1.0,32.0,20.0,16.0,1.24,2.52,6.31,0.0,4.0,4.0,96.0,68.0,68.0,1.21,2.53,2.53,8.75,8.75,6.64,18.0,21.61,195.0,191.0,0.11,0.02,3.0,1.0,3.0,1.0
8478438,2023,Tommy Novak,NSH,C,other,71,2378.0,44.0,33.84,0.38,0.53,0.68,0.51,0.66,0.51,235.0,8.81,1.71,0.68,1.68,0.31,5.33,2.3,1.63,1.71,1.63,1.0,1.0,9.0,3.0,2.0,14.0,4.0,2.0,0.0,0.0,1.0,0.0,5.0,4.0,7.0,10.0,1.0,2.0,6.0,0.0,3.0,0.0,6.0,2.0,4.0,0.3,0.23,1.18,1.0,0.0,1.0,14.0,12.0,12.0,0.0,0.21,0.0,0.3,1.63,1.63,1.57,44.0,14.0,4.0,2.0,24.0,9.0,3.0,16.0,16.0,6.0,4.0,5745.0,2.0,0.0,0.0,0.0,46.22,6.01,5.66,6.01,5.66,44.0,21.0,23.0,88.0,6.0,4.0,0.0,43.0,15.0,7.0,1.78,1.71,2.53,3.0,1.0,2.0,88.0,65.0,65.0,1.07,1.11,0.92,6.17,6.17,5.87,24.0,10.01,9.81,10.01,9.81,28.0,6.0,7.0,41.0,14.0,1.0,1.0,13.0,4.0,17.0,0.55,0.44,9.01,1.0,2.0,11.0,41.0,34.0,34.0,0.32,0.46,0.46,9.87,9.87,9.74,18.75,16.92,133.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0
8476925,2023,Colton Sissons,NSH,C,other,81,4590.0,92.0,33.17,0.42,0.57,0.52,0.55,0.53,0.54,271.0,8.32,2.56,0.78,1.47,0.43,4.94,2.82,2.43,2.56,2.43,1.0,1.0,5.0,8.0,2.0,15.0,4.0,2.0,1.0,0.0,0.0,0.0,9.0,1.0,3.0,11.0,0.0,0.0,36.0,3.0,0.0,3.0,4.0,4.0,5.0,0.1,0.55,1.91,0.0,0.0,2.0,15.0,13.0,13.0,2.0,0.23,0.31,0.31,2.48,2.48,2.42,92.0,20.0,25.0,6.0,41.0,11.0,5.0,25.0,51.0,36.0,32.0,6166.0,0.0,0.0,0.0,6.0,63.04,13.54,12.84,13.54,12.84,61.0,26.0,34.0,121.0,10.0,9.0,1.0,47.0,16.0,24.0,1.78,1.85,9.92,1.0,0.0,9.0,121.0,87.0,87.0,1.7,2.34,2.34,12.9,12.9,12.52,56.74,18.53,17.14,18.53,17.14,52.0,25.0,36.0,113.0,19.0,12.0,3.0,25.0,22.0,30.0,0.94,2.73,14.86,0.0,4.0,15.0,113.0,77.0,77.0,1.31,4.91,4.91,14.92,14.92,14.19,21.42,16.23,152.0,126.0,0.02,0.0,1.0,0.0,1.0,0.0
8480860,2023,Kevin Bahl,NJD,D,other,82,2262.0,31.0,8.2,0.37,0.51,0.22,0.56,0.23,0.53,172.0,2.24,0.14,0.11,0.55,0.08,1.27,0.85,0.14,0.14,0.14,0.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.03,0.0,0.0,0.17,0.17,0.17,31.0,0.0,9.0,2.0,20.0,1.0,6.0,4.0,20.0,0.0,0.0,6273.0,0.0,0.0,0.0,4.0,11.76,4.6,4.58,4.6,4.58,8.0,8.0,7.0,23.0,4.0,1.0,0.0,7.0,2.0,7.0,0.35,0.26,3.99,0.0,1.0,3.0,23.0,16.0,16.0,0.19,0.22,0.22,4.57,4.57,4.55,38.55,7.96,7.48,7.96,7.48,40.0,13.0,29.0,82.0,2.0,6.0,0.0,25.0,15.0,13.0,1.08,1.96,4.92,0.0,1.0,1.0,82.0,53.0,53.0,0.96,2.02,2.02,6.9,6.9,6.63,24.35,23.86,172.0,133.0,0.14,0.02,4.0,1.0,3.0,1.0
8478028,2023,Fredrik Olofsson,COL,L,other,57,358.0,10.0,4.28,0.77,0.43,0.33,0.49,0.5,0.49,99.0,1.11,0.64,0.06,0.09,0.06,0.71,0.43,0.64,0.64,0.64,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.08,0.0,0.57,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.02,0.0,0.0,0.66,0.66,0.66,10.0,2.0,6.0,0.0,2.0,2.0,0.0,4.0,4.0,2.0,10.0,2019.0,0.0,2.0,1.0,1.0,2.41,1.58,1.53,1.58,1.53,1.0,4.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,3.0,0.09,0.0,1.49,0.0,0.0,0.0,5.0,5.0,5.0,0.05,0.0,0.0,1.63,1.63,1.58,3.88,0.48,0.45,0.48,0.45,5.0,0.0,5.0,10.0,2.0,0.0,0.0,2.0,3.0,0.0,0.08,0.39,0.0,0.0,2.0,0.0,10.0,5.0,5.0,0.1,0.0,0.0,0.57,0.57,0.54,7.23,9.74,64.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
8475278,2023,Byron Froese,VGK,C,other,16,39.0,1.0,-0.17,0.0,0.5,0.0,0.8,0.0,0.67,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8478047,2023,Michael Bunting,PIT,L,other,81,1678.0,20.0,26.91,0.4,0.51,0.77,0.49,0.68,0.47,182.0,6.49,1.55,0.56,1.16,0.24,3.95,1.54,1.37,1.55,1.37,0.0,0.0,4.0,5.0,3.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,2.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,2.0,0.11,0.64,0.79,0.0,0.0,1.0,12.0,9.0,9.0,0.0,0.17,0.34,0.59,1.12,1.12,1.06,20.0,12.0,2.0,1.0,5.0,2.0,2.0,8.0,8.0,0.0,0.0,3483.0,0.0,0.0,0.0,0.0,30.37,6.8,6.25,6.8,6.25,26.0,16.0,28.0,70.0,2.0,3.0,1.0,22.0,9.0,11.0,0.98,1.07,4.74,0.0,0.0,2.0,70.0,42.0,42.0,0.78,1.14,1.14,6.44,6.44,5.98,13.13,10.41,9.84,10.41,9.84,8.0,12.0,1.0,21.0,6.0,1.0,0.0,2.0,1.0,17.0,0.08,0.11,10.22,0.0,0.0,6.0,21.0,20.0,20.0,0.13,0.29,0.29,10.24,10.24,9.69,11.26,10.68,83.0,87.0,0.04,0.0,1.0,0.0,1.0,0.0
8476473,2023,Connor Murphy,CHI,D,other,46,1519.0,27.0,2.95,0.2,0.42,0.17,0.48,0.18,0.47,96.0,0.83,0.12,0.04,0.12,0.03,0.3,0.41,0.12,0.12,0.12,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.12,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.13,0.13,0.13,27.0,1.0,7.0,3.0,16.0,5.0,4.0,3.0,15.0,0.0,0.0,3264.0,0.0,0.0,0.0,4.0,4.25,0.82,0.82,0.82,0.82,3.0,3.0,2.0,8.0,1.0,0.0,0.0,3.0,2.0,1.0,0.07,0.22,0.53,0.0,1.0,0.0,8.0,6.0,6.0,0.04,0.0,0.0,0.86,0.86,0.86,20.64,3.25,2.73,3.25,2.73,21.0,7.0,11.0,39.0,0.0,1.0,0.0,17.0,6.0,5.0,0.74,0.6,1.91,0.0,0.0,0.0,39.0,28.0,28.0,0.5,0.53,0.53,3.22,3.22,2.98,7.24,9.88,77.0,84.0,0.41,0.0,1.0,0.0,1.0,0.0
8484166,2023,Adam Fantilli,CBJ,C,other,49,1889.0,30.0,13.18,0.44,0.32,0.61,0.46,0.61,0.46,149.0,9.77,1.11,0.72,1.82,0.34,6.03,3.98,1.11,1.11,1.11,2.0,0.0,10.0,4.0,4.0,18.0,3.0,1.0,3.0,0.0,1.0,0.0,3.0,6.0,9.0,13.0,0.0,0.0,9.0,1.0,0.0,1.0,11.0,2.0,1.0,0.41,0.2,0.51,0.0,0.0,1.0,18.0,14.0,14.0,0.0,0.18,0.23,0.01,1.28,1.28,1.28,30.0,13.0,4.0,6.0,7.0,5.0,1.0,9.0,15.0,9.0,12.0,3171.0,0.0,0.0,0.0,2.0,33.06,3.74,3.68,3.74,3.68,35.0,11.0,24.0,70.0,5.0,3.0,0.0,31.0,10.0,5.0,1.07,1.04,1.62,1.0,2.0,2.0,70.0,46.0,46.0,0.69,0.23,0.23,4.2,4.2,4.15,21.49,4.79,4.44,4.79,4.44,18.0,11.0,15.0,44.0,6.0,3.0,0.0,13.0,6.0,10.0,0.55,0.67,3.58,0.0,2.0,4.0,44.0,29.0,29.0,0.4,0.77,0.77,4.42,4.42,4.14,6.9,14.81,95.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0
8481743,2023,Marc Del Gaizo,NSH,D,other,9,167.0,4.0,1.32,1.0,0.37,0.75,0.69,1.0,0.63,15.0,1.58,0.35,0.08,0.35,0.04,0.57,0.61,0.35,0.35,0.35,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.03,0.0,0.32,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.02,0.0,0.0,0.37,0.37,0.37,4.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,504.0,0.0,0.0,0.0,0.0,2.27,0.37,0.37,0.37,0.37,2.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.05,0.0,0.32,0.0,0.0,0.0,3.0,3.0,3.0,0.04,0.0,0.0,0.41,0.41,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,2.68,20.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8481591,2023,Sam Poulin,PIT,R,other,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8476389,2023,Vincent Trocheck,NYR,C,other,82,5836.0,73.0,73.08,0.58,0.65,0.7,0.42,0.69,0.44,215.0,21.49,4.43,1.68,4.05,0.89,12.22,6.74,3.74,4.43,3.74,5.0,5.0,21.0,9.0,8.0,38.0,14.0,4.0,3.0,1.0,3.0,1.0,13.0,6.0,17.0,26.0,0.0,0.0,62.0,4.0,2.0,3.0,16.0,7.0,7.0,0.62,0.92,2.9,0.0,1.0,3.0,38.0,30.0,30.0,0.0,0.48,0.51,1.58,3.32,3.32,3.17,73.0,18.0,19.0,6.0,30.0,7.0,3.0,23.0,40.0,62.0,45.0,4922.0,0.0,0.0,0.0,2.0,112.66,25.6,23.46,25.6,23.46,98.0,63.0,63.0,224.0,28.0,16.0,5.0,87.0,36.0,38.0,3.09,4.63,17.88,1.0,6.0,21.0,224.0,161.0,161.0,2.62,3.95,3.95,24.28,24.28,22.95,50.51,18.39,18.09,18.39,18.09,46.0,25.0,23.0,94.0,15.0,4.0,0.0,34.0,12.0,25.0,1.66,1.39,15.35,1.0,0.0,14.0,94.0,71.0,71.0,0.95,1.03,1.03,18.31,18.31,18.15,17.63,9.64,94.0,129.0,0.38,0.31,1.0,2.0,1.0,1.0
8476456,2023,Jonathan Huberdeau,CGY,C,other,81,4644.0,78.0,41.21,0.43,0.52,0.64,0.39,0.61,0.43,197.0,12.8,2.36,1.15,3.06,0.65,5.68,3.1,2.29,2.36,2.29,4.0,1.0,12.0,4.0,3.0,19.0,6.0,1.0,3.0,0.0,2.0,0.0,5.0,5.0,11.0,15.0,1.0,2.0,0.0,3.0,7.0,1.0,8.0,5.0,3.0,0.26,0.63,1.48,0.0,1.0,0.0,19.0,16.0,16.0,1.0,0.37,0.82,0.5,2.23,2.23,2.13,78.0,22.0,11.0,6.0,39.0,8.0,11.0,22.0,37.0,0.0,1.0,5777.0,2.0,2.0,1.0,1.0,70.72,12.36,10.94,12.36,10.94,69.0,26.0,42.0,137.0,7.0,9.0,2.0,59.0,18.0,18.0,1.96,2.21,8.18,0.0,1.0,6.0,137.0,95.0,95.0,1.84,2.37,2.37,11.84,11.84,10.97,41.29,16.67,16.46,16.67,16.46,42.0,19.0,16.0,77.0,18.0,3.0,1.0,22.0,11.0,28.0,0.67,1.43,14.57,2.0,1.0,15.0,77.0,61.0,61.0,0.68,0.94,0.94,16.4,16.4,16.22,14.33,13.37,100.0,156.0,0.01,0.0,1.0,1.0,1.0,0.0
8470610,2023,Zach Parise,COL,L,other,30,406.0,10.0,4.31,0.14,0.54,0.3,0.6,0.27,0.61,72.0,0.8,0.16,0.04,0.12,0.02,0.3,0.35,0.16,0.16,0.16,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.17,0.17,0.17,10.0,1.0,2.0,0.0,7.0,2.0,1.0,3.0,4.0,0.0,1.0,1320.0,0.0,0.0,0.0,0.0,3.07,0.38,0.38,0.38,0.38,4.0,0.0,2.0,6.0,1.0,0.0,0.0,2.0,2.0,0.0,0.08,0.3,0.0,0.0,1.0,0.0,6.0,4.0,4.0,0.05,0.0,0.0,0.43,0.43,0.43,7.65,2.27,2.26,2.27,2.26,8.0,3.0,3.0,14.0,3.0,2.0,0.0,5.0,2.0,4.0,0.17,0.31,1.79,0.0,0.0,3.0,14.0,11.0,11.0,0.17,0.07,0.07,2.36,2.36,2.36,5.51,4.61,38.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
8471675,2023,Sidney Crosby,PIT,C,other,82,5948.0,82.0,95.1,0.58,0.55,0.64,0.39,0.63,0.37,166.0,26.58,8.85,1.89,4.31,1.03,15.17,8.75,8.6,8.85,8.6,4.0,3.0,28.0,12.0,6.0,46.0,16.0,9.0,0.0,0.0,1.0,0.0,19.0,11.0,19.0,31.0,0.0,0.0,87.0,6.0,2.0,2.0,15.0,11.0,14.0,0.46,1.32,7.07,0.0,1.0,8.0,46.0,40.0,40.0,1.0,0.56,0.0,0.36,9.05,9.05,8.78,82.0,25.0,16.0,6.0,35.0,5.0,9.0,25.0,43.0,87.0,60.0,4052.0,0.0,2.0,1.0,6.0,109.93,28.97,25.96,28.97,25.96,106.0,52.0,68.0,226.0,26.0,9.0,4.0,75.0,45.0,38.0,2.92,5.58,20.47,2.0,4.0,20.0,226.0,158.0,158.0,2.61,3.3,3.3,28.29,28.29,25.85,65.11,20.66,19.94,20.66,19.94,52.0,41.0,34.0,127.0,13.0,4.0,0.0,46.0,14.0,33.0,1.97,1.78,16.9,1.0,3.0,9.0,127.0,93.0,93.0,1.23,0.59,0.54,21.35,21.35,20.61,11.11,9.11,78.0,121.0,0.06,0.2,1.0,1.0,1.0,1.0
8482162,2023,Roby Jarventie,OTT,L,other,7,62.0,1.0,-1.71,0.0,0.8,0.0,0.78,0.0,0.8,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.06,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8481560,2023,Arthur Kaliyev,LAK,R,other,51,289.0,5.0,5.56,0.42,0.73,0.6,0.62,0.5,0.67,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1396.0,0.0,0.0,0.0,0.0,2.77,0.98,0.84,0.98,0.84,2.0,2.0,5.0,9.0,0.0,1.0,0.0,2.0,0.0,2.0,0.09,0.0,0.89,0.0,0.0,0.0,9.0,4.0,4.0,0.07,0.43,0.43,0.61,0.61,0.56,2.59,1.34,1.28,1.34,1.28,3.0,1.0,2.0,6.0,2.0,0.0,0.0,1.0,1.0,2.0,0.07,0.1,1.18,0.0,0.0,2.0,6.0,4.0,4.0,0.05,0.0,0.0,1.39,1.39,1.32,4.33,1.59,33.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
8475191,2023,Reilly Smith,PIT,R,other,76,1809.0,32.0,30.02,0.7,0.58,0.57,0.59,0.51,0.58,263.0,7.53,1.63,0.59,1.41,0.24,3.31,2.8,1.6,1.63,1.6,1.0,1.0,5.0,5.0,0.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,5.0,10.0,1.0,2.0,0.0,1.0,1.0,2.0,6.0,0.0,4.0,0.26,0.0,1.38,0.0,0.0,0.0,10.0,10.0,10.0,1.0,0.17,0.0,0.43,1.37,1.37,1.37,32.0,5.0,5.0,5.0,17.0,5.0,4.0,5.0,18.0,0.0,0.0,5586.0,2.0,0.0,0.0,0.0,20.12,5.53,5.48,5.53,5.48,16.0,12.0,17.0,45.0,3.0,3.0,1.0,17.0,1.0,10.0,0.69,0.14,4.69,0.0,0.0,3.0,45.0,28.0,28.0,0.38,0.65,0.65,5.26,5.26,5.25,19.22,2.41,2.39,2.41,2.39,15.0,12.0,7.0,34.0,2.0,1.0,0.0,20.0,5.0,2.0,0.9,0.64,0.86,0.0,1.0,1.0,34.0,27.0,27.0,0.35,0.17,0.17,2.58,2.58,2.55,22.33,16.24,183.0,128.0,0.0,0.79,0.0,2.0,0.0,2.0
8477930,2023,Pierre-Edouard Bellemare,SEA,L,other,40,263.0,10.0,3.33,0.03,0.47,0.08,0.43,0.1,0.4,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,1.0,3.0,0.0,0.0,2.0,8.0,4.0,5.0,1552.0,0.0,0.0,0.0,0.0,0.71,0.06,0.06,0.06,0.06,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.07,0.07,0.07,7.43,1.78,1.65,1.78,1.65,5.0,4.0,3.0,12.0,2.0,1.0,1.0,5.0,2.0,2.0,0.15,0.26,1.37,0.0,0.0,2.0,12.0,9.0,9.0,0.18,0.46,0.46,1.51,1.51,1.46,3.85,4.33,34.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
